STATE/UT,CRIME HEAD,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Punjab,INSULT TO THE MODESTY OF WOMEN,9,3,1,2,8,8,1,1,10,2,40,47,145,199,38,43,60,48,49,33,38,31,31,67,35,27,10
Rajasthan,INSULT TO THE MODESTY OF WOMEN,33,60,15,27,49,65,44,38,54,51,50,56,44,33,41,28,31,28,19,24,23,9,18,25,18,9,15
Sikkim,INSULT TO THE MODESTY OF WOMEN,0,0,0,0,0,0,0,1,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,2,11
Tamil Nadu,INSULT TO THE MODESTY OF WOMEN,978,1205,680,942,1195,1078,1514,1532,1230,1776,2167,1012,1718,881,1081,665,852,875,974,501,638,464,382,313,229,20,27
Tripura,INSULT TO THE MODESTY OF WOMEN,1,4,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,4,4,5,9,9,7,7,11,6,1
Uttar Pradesh,INSULT TO THE MODESTY OF WOMEN,2114,2580,2727,2618,2216,154,118,105,2571,2255,3160,2575,1887,4970,2682,2881,2714,2882,3374,2524,11,3,8,25,29,11,35
Uttarakhand,INSULT TO THE MODESTY OF WOMEN,0,0,0,0,0,0,0,0,0,0,0,84,97,98,110,89,113,63,306,249,165,72,73,72,4,12,3
West Bengal,INSULT TO THE MODESTY OF WOMEN,229,354,120,12,17,26,22,63,27,33,55,48,34,71,64,54,63,99,94,108,163,200,556,577,543,455,449
A&N Islands,INSULT TO THE MODESTY OF WOMEN,7,8,2,9,5,1,2,0,2,2,1,1,3,2,3,1,4,2,3,7,10,3,4,8,5,5,2
Chandigarh,INSULT TO THE MODESTY OF WOMEN,13,31,30,23,40,2,4,5,10,18,8,15,28,4,18,9,13,11,2,2,4,12,25,26,2,10,13
D&N Haveli,INSULT TO THE MODESTY OF WOMEN,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,1,1,0,1
Daman & Diu,INSULT TO THE MODESTY OF WOMEN,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
Delhi UT,INSULT TO THE MODESTY OF WOMEN,2061,2376,2303,2107,116,223,189,185,172,146,123,90,128,105,130,225,144,167,130,118,80,162,208,916,1361,1492,918
Lakshadweep,INSULT TO THE MODESTY OF WOMEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
Puducherry,INSULT TO THE MODESTY OF WOMEN,172,697,694,507,367,3,4,5,9,19,27,27,26,27,30,26,39,32,21,16,22,16,2,8,8,10,3
INDIA,INSULT TO THE MODESTY OF WOMEN,8620,10283,10751,12009,10496,4756,5671,5796,8123,8858,11024,9746,10155,12325,10001,9984,9966,10950,12214,11009,9961,8570,9173,12589,9735,8685,7305
Andhra Pradesh,CRUELTY BY HUSBAND OR RELATIVES,1245,1444,1842,2053,2295,2829,3478,3870,4310,4666,5399,5791,7018,8167,8388,8696,9164,11335,10306,11297,12080,13376,13389,15084,12731,13450,13663
Arunachal Pradesh,CRUELTY BY HUSBAND OR RELATIVES,4,0,2,3,3,1,4,1,8,5,10,11,13,14,4,9,14,20,13,13,12,18,26,29,42,66,50
Assam,CRUELTY BY HUSBAND OR RELATIVES,161,199,247,209,293,485,553,775,739,843,978,1248,1694,1808,1945,2206,2548,3000,3478,4398,5410,5246,6407,8636,9626,11225,9321
Bihar,CRUELTY BY HUSBAND OR RELATIVES,297,315,315,356,483,622,675,974,1507,1423,1396,1558,1577,1880,2679,1574,1689,1635,1992,2532,2271,2607,3686,4533,4672,3792,3794
Chhattisgarh,CRUELTY BY HUSBAND OR RELATIVES,0,0,0,0,0,0,0,0,0,0,0,840,653,601,741,732,717,824,897,893,861,834,980,1181,964,620,622
Goa,CRUELTY BY HUSBAND OR RELATIVES,6,13,16,16,16,13,13,8,16,15,13,11,8,24,17,11,14,14,12,21,17,18,24,40,35,19,23
Gujarat,CRUELTY BY HUSBAND OR RELATIVES,800,1106,1224,1428,1563,1926,2666,3183,3602,3886,3739,3667,3321,3684,3955,4090,4977,5827,6094,5506,5600,6052,6658,7812,5991,4133,3732
Haryana,CRUELTY BY HUSBAND OR RELATIVES,159,185,237,293,351,426,490,533,977,1369,1286,1513,1565,1618,2026,2075,2254,2412,2435,2617,2720,2740,3137,3617,3478,3525,3313
Himachal Pradesh,CRUELTY BY HUSBAND OR RELATIVES,75,87,119,160,140,219,227,221,228,258,307,317,234,221,252,228,259,342,343,284,275,239,251,328,325,226,214
Jammu & Kashmir,CRUELTY BY HUSBAND OR RELATIVES,11,3,1,3,11,35,33,7,18,39,51,50,54,71,82,76,135,176,162,196,211,286,301,428,467,400,342
Jharkhand,CRUELTY BY HUSBAND OR RELATIVES,0,0,0,0,0,0,0,0,0,0,0,484,588,559,588,590,668,801,851,710,650,659,1261,2084,1462,1654,1002
Karnataka,CRUELTY BY HUSBAND OR RELATIVES,815,826,985,1153,1159,1488,1382,1450,1501,1560,1688,1755,1826,1704,1588,1883,2129,2507,2638,3185,3441,3712,3684,3276,3025,2732,2556
Kerala,CRUELTY BY HUSBAND OR RELATIVES,184,242,290,381,550,787,1079,1675,2125,2488,2418,2561,2836,2930,3222,3283,3708,3999,4138,4007,4797,5377,5216,4820,4919,3668,3455
Madhya Pradesh,CRUELTY BY HUSBAND OR RELATIVES,1065,1409,1469,1500,1815,2640,2493,2479,2765,3012,3092,2562,3117,2938,3436,2989,2989,3294,3185,3983,3756,3732,3988,4988,6451,5281,6264
Maharashtra,CRUELTY BY HUSBAND OR RELATIVES,4887,5396,6168,6746,7105,8760,9156,8111,7728,7026,6768,6090,5353,5452,5646,6233,6738,7356,7829,7681,7434,7136,7415,8542,7696,7640,7215
Manipur,CRUELTY BY HUSBAND OR RELATIVES,1,0,2,1,1,0,2,1,0,2,4,5,10,4,2,20,10,15,28,25,18,39,43,29,41,39,29
Meghalaya,CRUELTY BY HUSBAND OR RELATIVES,1,0,1,1,0,0,0,3,0,0,0,4,0,4,5,3,13,19,32,24,24,21,16,23,42,44,26
Mizoram,CRUELTY BY HUSBAND OR RELATIVES,1,0,1,0,1,0,0,1,0,0,0,16,3,3,0,0,1,2,5,4,3,9,8,5,8,9,19
Nagaland,CRUELTY BY HUSBAND OR RELATIVES,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,4,0,1,1,0,4,3,4,3
Odisha,CRUELTY BY HUSBAND OR RELATIVES,175,245,257,201,361,554,861,935,935,1208,1088,1266,1167,1289,1192,1671,694,728,1618,2047,2067,2320,2638,2792,3114,3605,2781
Punjab,CRUELTY BY HUSBAND OR RELATIVES,43,27,33,41,87,133,225,235,397,562,917,1128,944,987,801,729,801,971,984,1061,1163,1136,1293,1741,1681,1583,1568
Rajasthan,CRUELTY BY HUSBAND OR RELATIVES,840,1033,1836,1984,2277,3202,3920,4304,4947,5425,5437,5532,5691,5733,6781,5997,7038,8170,8113,10371,11145,12218,13312,15094,15905,14383,13811
Sikkim,CRUELTY BY HUSBAND OR RELATIVES,0,0,0,0,0,0,0,1,2,0,14,0,3,1,1,4,6,7,5,6,3,4,4,5,5,2,2
Tamil Nadu,CRUELTY BY HUSBAND OR RELATIVES,180,222,294,254,247,345,353,424,440,620,837,815,1052,1555,1437,1650,1248,1976,1648,1460,1570,1812,1965,2471,2103,1900,1256
Tripura,CRUELTY BY HUSBAND OR RELATIVES,49,41,31,41,45,57,66,119,115,113,129,227,236,247,302,439,471,545,735,815,937,702,858,827,702,501,430
Uttar Pradesh,CRUELTY BY HUSBAND OR RELATIVES,1028,1415,2329,2905,3943,3165,3989,3393,5113,5372,6021,7365,5679,2626,4950,4505,5204,7650,8312,8566,7978,7121,7661,8781,10471,8660,11156
Uttarakhand,CRUELTY BY HUSBAND OR RELATIVES,0,0,0,0,0,0,0,0,0,0,0,301,316,317,405,272,358,463,340,361,334,307,368,435,301,407,392
West Bengal,CRUELTY BY HUSBAND OR RELATIVES,1297,1608,1920,2187,3037,3319,3437,3728,3704,3777,4025,3859,4069,4948,6334,6936,7414,9900,13663,16112,17796,19772,19865,115721,23278,20163,19302
A&N Islands,CRUELTY BY HUSBAND OR RELATIVES,5,3,6,14,3,2,5,5,3,8,12,9,4,7,5,5,7,18,26,21,9,5,5,9,14,14,7
Chandigarh,CRUELTY BY HUSBAND OR RELATIVES,13,9,8,11,14,18,13,30,25,42,36,36,56,93,73,75,102,112,49,51,41,46,73,92,141,126,122
D&N Haveli,CRUELTY BY HUSBAND OR RELATIVES,0,2,4,4,7,5,8,8,7,5,2,4,3,2,3,5,5,3,4,3,3,3,0,1,6,2,6
Daman & Diu,CRUELTY BY HUSBAND OR RELATIVES,6,3,2,3,0,0,0,0,1,5,2,4,3,0,4,3,2,3,5,3,3,2,3,2,1,3,8
Delhi UT,CRUELTY BY HUSBAND OR RELATIVES,97,112,106,113,136,95,114,113,103,88,106,138,135,1211,1254,1324,1728,1787,1387,1283,1404,1575,1985,3033,3173,3521,3877
Lakshadweep,CRUELTY BY HUSBAND OR RELATIVES,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,2,1,0,0,0,1,0,0,2,2
Puducherry,CRUELTY BY HUSBAND OR RELATIVES,4,4,5,3,3,1,2,4,1,6,3,3,9,4,2,6,19,17,12,10,7,10,6,8,4,4,15
INDIA,CRUELTY BY HUSBAND OR RELATIVES,13450,15949,19750,22064,25946,31127,35246,36592,41318,43823,45778,49170,49237,50703,58121,58319,63128,75930,81344,89546,94041,99135,106527,118866,122877,113403,110378
Andhra Pradesh,TOTAL CRIMES AGAINST WOMEN,5512,5813,6412,8335,10319,9097,9607,10757,11201,12756,14299,16477,18880,18382,18921,20819,21484,24738,24111,25569,27244,28246,28171,32809,30648,31066,31736
Arunachal Pradesh,TOTAL CRIMES AGAINST WOMEN,92,96,91,59,85,68,106,104,125,151,143,180,159,139,148,150,168,185,175,164,190,171,201,288,351,384,367
Assam,TOTAL CRIMES AGAINST WOMEN,1463,1659,1520,1491,1545,2831,2793,3407,3388,3504,3732,4243,5092,5312,5700,6027,6801,6844,8122,9721,11555,11503,13544,17449,19139,23258,20869
Bihar,TOTAL CRIMES AGAINST WOMEN,2028,1857,1946,1896,2773,3790,5349,5888,7105,6706,6299,5356,5743,5900,8091,6019,6740,7548,8662,8803,8471,10231,11229,13609,15383,13891,13400
Chhattisgarh,TOTAL CRIMES AGAINST WOMEN,0,0,0,0,0,0,0,0,0,0,0,3989,3538,3336,3763,3599,3757,3775,3962,4002,4176,4219,4228,7012,6255,5720,5947
Goa,TOTAL CRIMES AGAINST WOMEN,69,83,93,93,79,143,82,187,109,103,100,83,76,121,132,121,96,80,130,164,140,127,200,440,488,365,371
Gujarat,TOTAL CRIMES AGAINST WOMEN,2904,3294,4258,3431,3775,4392,5139,5809,6658,6694,6140,5805,5373,5735,6211,6343,7279,8260,8616,8009,8148,8815,9561,12283,10837,7762,8532
Haryana,TOTAL CRIMES AGAINST WOMEN,967,1106,1612,1640,1779,2042,2335,2314,3002,3248,3311,3393,4385,4170,4276,4161,4617,4645,5142,5312,5562,5491,6002,9089,8974,9446,9839
Himachal Pradesh,TOTAL CRIMES AGAINST WOMEN,473,605,609,729,737,781,803,801,778,784,842,890,838,729,823,793,792,1018,979,954,1028,997,912,1478,1517,1289,1222
Jammu & Kashmir,TOTAL CRIMES AGAINST WOMEN,924,976,939,907,901,812,1210,1523,1715,1542,1634,1656,2016,2164,2208,2144,2432,2521,2295,2624,2611,3146,3328,3509,3321,3363,2850
Jharkhand,TOTAL CRIMES AGAINST WOMEN,0,0,0,0,0,0,0,0,0,0,0,2229,2490,2488,2490,2544,2979,3317,3183,3021,3087,3132,4536,6506,5972,6518,5453
Karnataka,TOTAL CRIMES AGAINST WOMEN,2290,2388,2540,3002,5282,5685,5379,5679,5516,5633,5852,6002,6170,5834,5423,6057,6084,6569,6891,7852,8807,9594,10366,12027,13914,12705,14131
Kerala,TOTAL CRIMES AGAINST WOMEN,1170,1118,1146,1191,1609,2063,2916,4134,4799,4838,4982,5450,5829,5653,6483,6762,7554,7837,8117,8049,9463,11288,10930,11216,11380,9708,10034
Madhya Pradesh,TOTAL CRIMES AGAINST WOMEN,11939,13174,12424,11378,13509,15358,14959,16170,15865,17076,17902,14549,15260,14547,15203,14529,14321,15370,14908,15827,16468,16599,16832,22061,28678,24135,26604
Maharashtra,TOTAL CRIMES AGAINST WOMEN,10887,11108,11951,13913,13568,16340,16567,16270,14266,13610,13177,12524,11322,11273,12169,13370,14452,14924,15862,15048,15737,15728,16353,24895,26693,31126,31388
Manipur,TOTAL CRIMES AGAINST WOMEN,128,142,160,107,86,101,94,85,86,65,74,112,170,137,134,140,171,188,211,194,190,247,304,285,337,266,253
Meghalaya,TOTAL CRIMES AGAINST WOMEN,44,49,44,43,58,39,72,87,71,54,69,66,71,69,113,131,176,172,208,237,261,269,255,343,388,334,372
Mizoram,TOTAL CRIMES AGAINST WOMEN,106,90,87,78,78,100,104,110,141,145,133,126,154,147,91,95,125,151,162,150,170,167,199,177,258,158,120
Nagaland,TOTAL CRIMES AGAINST WOMEN,6,3,2,1,6,27,43,44,32,19,22,30,26,25,30,37,43,32,47,46,41,38,51,67,67,90,105
Odisha,TOTAL CRIMES AGAINST WOMEN,1339,1549,1818,2131,2213,3344,4163,4453,4450,4716,4717,5357,4779,4946,5239,6249,6825,7304,8303,8120,8501,9433,11988,14173,14606,17144,17837
Punjab,TOTAL CRIMES AGAINST WOMEN,356,321,314,400,520,614,910,951,1238,1538,2156,2361,2295,2375,1955,1969,2242,2694,2627,2631,2853,2641,3238,4994,5425,5291,5105
Rajasthan,TOTAL CRIMES AGAINST WOMEN,5235,5695,7093,7160,7462,9422,10575,11221,12159,12974,12942,12175,12049,11812,13127,11657,12934,14270,14491,17316,18182,19888,21106,27933,31151,28165,27422
Sikkim,TOTAL CRIMES AGAINST WOMEN,10,20,29,28,43,45,65,50,37,28,21,24,28,37,49,62,47,55,48,41,42,55,68,93,110,53,153
Tamil Nadu,TOTAL CRIMES AGAINST WOMEN,2494,2963,2383,2471,8011,8774,9232,9044,11201,12670,13732,10111,9798,8888,9332,8648,6489,7811,7220,6051,6708,6940,7192,7475,6325,5847,4463
Tripura,TOTAL CRIMES AGAINST WOMEN,340,259,284,266,240,261,313,375,319,300,330,438,536,537,670,840,964,1067,1416,1517,1678,1358,1559,1628,1615,1267,1013
Uttar Pradesh,TOTAL CRIMES AGAINST WOMEN,10651,11438,12873,14048,15914,11976,13614,11849,17497,16912,18920,20227,15647,12840,15485,14875,16375,20993,23569,23254,20169,22639,23569,32546,38467,35527,49262
Uttarakhand,TOTAL CRIMES AGAINST WOMEN,0,0,0,0,0,0,0,0,0,0,0,749,870,886,988,786,1038,1097,1151,1188,1074,996,1067,1719,1395,1453,1588
West Bengal,TOTAL CRIMES AGAINST WOMEN,3304,3765,3844,4978,5984,6382,6453,7023,6811,6931,7043,6570,6842,8508,11047,11887,12785,16544,20912,23307,26125,29133,30942,29826,38299,33218,32513
A&N Islands,TOTAL CRIMES AGAINST WOMEN,38,50,28,57,35,25,25,27,26,36,45,34,27,22,27,22,36,56,80,92,85,51,49,106,115,136,108
Chandigarh,TOTAL CRIMES AGAINST WOMEN,62,68,82,82,124,62,70,83,97,152,161,150,189,159,188,205,224,230,143,150,141,156,241,488,432,463,414
D&N Haveli,TOTAL CRIMES AGAINST WOMEN,12,8,11,10,15,17,21,15,17,18,17,19,15,13,22,24,32,18,28,20,30,18,16,21,21,25,28
Daman & Diu,TOTAL CRIMES AGAINST WOMEN,8,7,4,6,0,2,3,1,2,11,6,10,8,10,7,10,9,11,15,13,14,11,11,24,15,28,41
Delhi UT,TOTAL CRIMES AGAINST WOMEN,3249,3629,3680,3482,1780,1828,2673,2725,2556,2428,2439,2291,2216,3282,3677,4351,4544,4804,3938,4251,4518,5234,5959,12888,15265,17104,15310
Lakshadweep,TOTAL CRIMES AGAINST WOMEN,0,0,0,0,0,0,0,0,2,0,1,0,2,4,1,0,1,5,4,1,1,0,2,3,4,9,9
Puducherry,TOTAL CRIMES AGAINST WOMEN,217,760,760,541,418,50,48,79,69,129,132,119,141,121,110,127,149,179,129,106,115,89,61,86,77,80,95
INDIA,TOTAL CRIMES AGAINST WOMEN,68317,74093,79037,83954,98948,106471,115723,121265,131338,135771,141373,143795,143034,140601,154333,155553,164765,185312,195857,203804,213585,228650,244270,309546,337922,327394,338954
